Student_ID,Date,Persona,Age,Gender,Department,Year_of_Study,Sleep_Hours,Study_Hours,Screen_Time_Hours,Social_Media_Hours,YouTube_Hours,Gaming_Hours,Phone_Checks_Per_Day,Stress_Level,Focus_Score,Mood_Score,Physical_Activity_Hours,Attendance_Percentage,Assignment_Completion,Productivity_Score,Quiz_Score,Exam_Score,GPA,Burnout_Risk
1,2025-01-16,High Performer,18,Female,Information Technology,2,8.4,5.6,2.9,1.4,1.8,0.6,46,4.2,8.0,7.3,0.2,100.0,97.5,57.2,63.4,80.8,3.23,Low
1,2025-01-17,High Performer,18,Female,Information Technology,2,6.9,5.4,4.5,2.7,0.9,0.8,66,3.5,7.3,9.8,1.7,94.0,90.0,52.2,46.3,83.4,3.34,Low
1,2025-01-18,High Performer,18,Female,Information Technology,2,7.1,6.8,3.3,2.4,1.9,0.5,30,3.9,4.8,7.0,2.0,90.7,90.0,45.7,50.9,71.2,2.85,Low
1,2025-01-19,High Performer,18,Female,Information Technology,2,8.7,4.1,5.2,2.0,1.0,1.2,60,4.2,7.4,8.1,1.5,90.1,95.5,50.7,63.6,66.5,2.66,Low
1,2025-01-20,High Performer,18,Female,Information Technology,2,5.9,5.3,4.6,2.2,1.2,0.9,48,3.5,7.4,8.8,1.6,93.8,92.2,50.5,61.4,80.6,3.22,Low
1,2025-01-21,High Performer,18,Female,Information Technology,2,6.8,4.9,4.7,2.5,1.5,1.1,53,5.3,7.4,8.5,1.7,91.0,94.1,47.6,62.6,74.4,2.98,Low
1,2025-01-22,High Performer,18,Female,Information Technology,2,7.5,6.2,3.7,2.3,1.4,1.0,52,4.6,7.2,10.0,1.8,87.0,90.1,53.1,62.0,81.4,3.26,Low
1,2025-01-23,High Performer,18,Female,Information Technology,2,7.5,4.6,4.1,1.5,2.0,0.9,47,3.2,7.7,8.4,1.3,89.2,91.7,53.2,48.4,74.5,2.98,Low
1,2025-01-24,High Performer,18,Female,Information Technology,2,7.7,4.1,2.6,1.4,1.4,1.2,42,5.5,8.9,7.8,1.2,91.9,91.0,52.0,45.6,74.6,2.99,Low
1,2025-01-25,High Performer,18,Female,Information Technology,2,7.9,7.0,3.9,2.3,1.8,0.8,59,4.2,8.0,8.1,1.4,88.1,95.1,60.5,82.2,92.8,3.71,Low
1,2025-01-26,High Performer,18,Female,Information Technology,2,6.9,6.4,4.2,3.8,1.1,0.6,63,3.4,5.9,7.5,1.4,88.2,95.6,49.6,52.3,81.3,3.25,Low
1,2025-01-27,High Performer,18,Female,Information Technology,2,6.8,6.0,2.7,3.5,2.1,0.8,45,2.3,9.4,7.9,0.9,98.2,88.6,64.4,62.2,93.9,3.76,Low
1,2025-01-28,High Performer,18,Female,Information Technology,2,8.0,4.4,3.9,2.1,1.8,1.4,46,2.9,6.5,9.3,2.0,93.7,92.0,49.4,56.6,80.0,3.2,Low
1,2025-01-29,High Performer,18,Female,Information Technology,2,9.1,7.3,3.8,2.8,1.8,1.7,42,3.0,8.7,9.1,0.2,83.2,90.3,68.7,82.0,100.0,4.0,Low
1,2025-01-30,High Performer,18,Female,Information Technology,2,7.6,7.1,2.6,0.6,1.5,1.2,35,4.0,5.9,7.9,1.4,85.5,97.7,52.3,45.5,77.1,3.08,Low
2,2025-01-01,Inconsistent,19,Female,Mechanical,4,5.4,6.9,4.0,5.0,1.7,0.8,65,5.8,2.9,3.9,0.6,54.0,100.0,31.5,35.0,51.3,2.05,Low
2,2025-01-02,Inconsistent,19,Female,Mechanical,4,5.1,5.8,9.3,2.9,1.6,1.6,100,1.4,2.0,,0.9,96.7,65.0,32.7,63.4,77.7,3.11,Low
2,2025-01-03,Inconsistent,19,Female,Mechanical,4,5.2,1.1,2.2,4.4,1.4,0.0,92,4.7,2.8,8.4,1.3,85.2,69.8,15.8,30.5,26.1,1.04,Low
2,2025-01-04,Inconsistent,19,Female,Mechanical,4,6.6,0.9,6.4,2.2,0.4,3.4,59,9.8,2.2,6.1,0.3,62.2,60.3,5.0,0.1,9.6,0.39,Medium
2,2025-01-05,Inconsistent,19,Female,Mechanical,4,6.0,3.8,6.3,2.2,1.6,3.1,66,7.0,3.0,5.2,0.9,83.3,40.0,21.8,23.3,42.0,1.68,Medium
2,2025-01-06,Inconsistent,19,Female,Mechanical,4,2.0,0.0,7.1,4.5,1.1,3.0,76,2.7,4.9,2.6,0.2,62.2,70.9,18.1,18.4,32.9,1.32,Low
2,2025-01-07,Inconsistent,19,Female,Mechanical,4,7.2,0.6,8.6,6.9,0.0,0.8,130,7.2,4.6,5.7,0.5,62.9,71.7,20.2,22.4,28.2,1.13,Medium
2,2025-01-08,Inconsistent,19,Female,Mechanical,4,4.7,2.5,5.7,4.8,1.9,2.4,54,10.0,6.7,4.3,0.0,90.0,61.8,23.9,16.5,27.7,1.11,High
2,2025-01-09,Inconsistent,19,Female,Mechanical,4,5.5,9.0,8.0,3.6,3.7,0.0,112,6.5,6.5,2.0,0.4,89.2,76.8,51.4,66.0,92.2,3.69,Medium
2,2025-01-10,Inconsistent,19,Female,Mechanical,4,6.0,2.6,4.5,5.7,1.2,2.1,55,5.0,6.0,,0.5,87.6,59.8,33.6,37.4,49.1,1.96,Low
2,2025-01-11,Inconsistent,19,Female,Mechanical,4,7.0,1.2,9.6,6.7,3.1,4.8,99,4.5,2.5,1.4,0.6,94.4,83.1,18.9,40.7,30.1,1.21,Low
2,2025-01-12,Inconsistent,19,Female,Mechanical,4,5.8,4.3,9.2,5.0,2.8,0.8,85,6.9,8.8,7.7,0.1,95.9,59.8,45.7,55.5,66.8,2.67,Medium
2,2025-01-13,Inconsistent,19,Female,Mechanical,4,2.1,8.6,6.5,3.1,1.0,0.0,80,7.6,5.1,2.4,1.4,52.6,63.3,35.3,31.5,47.8,1.91,Medium
2,2025-01-14,Inconsistent,19,Female,Mechanical,4,5.0,0.0,6.8,3.5,3.5,4.8,89,8.3,4.5,2.8,0.6,100.0,71.2,11.3,15.6,24.0,0.96,High
2,2025-01-15,Inconsistent,19,Female,Mechanical,4,4.4,2.4,6.9,2.9,1.4,2.2,78,5.5,8.0,1.0,0.0,88.4,94.9,36.8,25.1,51.9,2.08,Low
2,2025-01-16,Inconsistent,19,Female,Mechanical,4,3.9,0.7,12.3,5.9,4.4,3.1,76,3.7,4.0,6.0,0.5,53.7,84.3,18.2,24.6,30.1,1.2,Low
2,2025-01-17,Inconsistent,19,Female,Mechanical,4,4.8,7.5,3.8,5.2,3.4,1.5,65,6.7,2.5,6.8,1.1,69.2,59.5,28.7,18.2,43.8,1.75,Medium
2,2025-01-18,Inconsistent,19,Female,Mechanical,4,6.7,0.2,12.3,0.0,5.0,2.3,95,5.8,3.9,5.8,0.7,71.4,92.1,17.9,17.0,24.9,1.0,Low
2,2025-01-19,Inconsistent,19,Female,Mechanical,4,6.1,0.0,3.0,5.5,2.8,1.7,104,6.0,5.7,3.9,0.1,60.3,73.9,22.9,22.6,20.5,0.82,Medium
2,2025-01-20,Inconsistent,19,Female,Mechanical,4,6.4,4.8,9.9,7.3,4.0,0.0,63,3.4,3.8,5.1,0.7,79.8,55.5,35.3,26.8,54.3,2.17,Low
2,2025-01-21,Inconsistent,19,Female,Mechanical,4,3.7,0.0,4.1,6.1,1.1,5.9,179,7.0,5.4,3.3,0.7,82.5,58.5,14.8,25.9,23.8,0.95,Medium
2,2025-01-22,Inconsistent,19,Female,Mechanical,4,4.1,3.9,12.3,2.7,5.2,3.1,81,4.9,6.3,6.9,0.2,81.3,40.0,35.2,42.8,54.0,2.16,Low
2,2025-01-23,Inconsistent,19,Female,Mechanical,4,5.9,0.0,8.1,5.2,3.3,3.6,99,7.7,5.9,4.9,0.7,47.1,78.6,20.0,2.1,15.4,0.62,Medium
2,2025-01-24,Inconsistent,19,Female,Mechanical,4,7.6,3.9,9.0,4.1,2.5,3.4,73,5.0,5.2,4.1,0.7,65.5,63.8,37.7,34.7,59.9,2.39,Low
2,2025-01-25,Inconsistent,19,Female,Mechanical,4,5.1,2.7,11.3,4.4,4.0,0.0,170,6.5,6.8,5.2,1.3,88.0,59.7,32.3,29.3,47.0,1.88,Medium
2,2025-01-26,Inconsistent,19,Female,Mechanical,4,8.4,8.7,5.4,3.2,2.1,0.0,55,4.2,3.0,3.5,1.4,71.5,74.7,46.7,53.7,79.2,3.17,Low
2,2025-01-27,Inconsistent,19,Female,Mechanical,4,5.4,6.0,3.6,4.8,2.7,2.7,67,6.6,9.9,3.7,0.3,64.0,57.5,55.4,67.1,79.6,3.18,Medium
2,2025-01-28,Inconsistent,19,Female,Mechanical,4,4.4,1.5,8.4,2.9,3.4,2.3,101,3.0,8.1,8.6,0.7,62.8,62.2,39.7,55.0,55.6,2.22,Low
2,2025-01-29,Inconsistent,19,Female,Mechanical,4,5.1,1.6,2.9,2.5,2.5,4.7,72,5.0,5.4,5.0,0.3,89.8,100.0,27.0,39.3,48.4,1.94,Low
2,2025-01-30,Inconsistent,19,Female,Mechanical,4,9.2,5.8,5.9,5.2,4.2,3.2,95,7.0,7.1,7.3,0.5,92.7,83.0,50.1,48.9,79.2,3.17,Medium
3,2025-01-01,Burnout,21,Male,Business,4,4.9,7.4,7.0,4.3,2.2,1.0,84,7.6,5.7,4.6,0.3,96.6,76.9,39.7,51.1,74.1,2.96,Medium
3,2025-01-02,Burnout,21,Male,Business,4,4.8,8.9,7.2,2.6,2.2,1.5,87,8.0,5.1,3.3,0.2,87.0,64.8,40.9,52.6,75.9,3.04,Medium
3,2025-01-03,Burnout,21,Male,Business,4,3.9,10.8,5.6,0.8,2.4,0.7,93,8.0,5.7,4.2,0.5,69.4,67.2,47.2,66.8,74.3,2.97,Medium
3,2025-01-04,Burnout,21,Male,Business,4,3.4,5.7,6.3,3.0,2.2,0.9,89,9.4,3.7,5.4,0.4,74.2,91.2,20.3,31.6,40.0,1.6,High
3,2025-01-05,Burnout,21,Male,Business,4,5.1,10.0,7.2,3.7,1.9,1.7,96,8.3,6.8,4.0,0.2,60.7,81.3,50.8,46.4,71.4,2.85,Medium
3,2025-01-06,Burnout,21,Male,Business,4,2.6,7.3,4.6,1.4,2.8,1.4,97,9.4,4.0,4.0,0.6,75.0,68.4,24.5,30.7,43.6,1.74,High
3,2025-01-07,Burnout,21,Male,Business,4,,4.9,6.8,2.3,1.0,0.9,81,10.0,5.6,3.4,0.5,80.7,94.0,26.8,33.3,39.6,1.58,High
3,2025-01-08,Burnout,21,Male,Business,4,4.9,9.3,7.6,4.0,1.5,1.7,70,9.2,7.1,3.3,0.2,92.4,82.0,47.7,55.2,74.1,2.96,High
3,2025-01-09,Burnout,21,Male,Business,4,5.0,7.1,7.0,5.1,3.7,1.2,87,9.0,5.1,4.6,0.0,64.8,77.4,33.9,34.8,55.3,2.21,Medium
3,2025-01-10,Burnout,21,Male,Business,4,6.1,6.2,5.5,3.2,3.0,1.8,48,8.5,6.1,4.0,0.4,73.3,88.8,37.9,55.6,63.7,2.55,Medium
3,2025-01-11,Burnout,21,Male,Business,4,3.9,8.6,7.5,3.3,1.4,0.7,102,9.0,6.2,4.5,0.0,71.3,87.7,40.3,34.9,54.0,2.16,High
3,2025-01-12,Burnout,21,Male,Business,4,3.4,6.1,8.2,2.5,2.3,1.0,71,9.5,5.1,2.7,0.0,85.0,75.1,26.3,44.2,53.4,2.14,High
3,2025-01-13,Burnout,21,Male,Business,4,4.2,7.5,6.7,5.1,2.4,1.2,94,10.0,5.2,3.7,0.3,73.0,79.3,31.7,41.9,51.5,2.06,High
3,2025-01-14,Burnout,21,Male,Business,4,4.4,8.1,5.0,3.9,2.3,1.5,58,6.1,7.1,3.9,0.4,86.1,69.6,49.3,66.8,73.6,2.94,Medium
3,2025-01-15,Burnout,21,Male,Business,4,4.3,8.3,7.9,3.5,2.2,1.2,92,10.0,4.9,4.2,0.5,85.5,91.1,33.4,49.1,51.4,2.06,High
3,2025-01-16,Burnout,21,Male,Business,4,3.4,8.5,6.2,2.9,2.3,1.2,55,9.4,6.6,4.5,0.5,72.6,89.6,39.7,50.9,64.7,2.59,High
3,2025-01-17,Burnout,21,Male,Business,4,4.2,10.1,6.8,3.1,1.8,1.0,67,7.9,3.6,5.6,0.0,66.5,70.1,37.0,52.3,55.9,2.24,Medium
3,2025-01-18,Burnout,21,Male,Business,4,5.5,7.0,9.3,4.0,1.7,0.0,91,10.0,3.6,2.4,0.6,85.2,100.0,26.4,42.1,50.3,2.01,Medium
3,2025-01-19,Burnout,21,Male,Business,4,5.3,8.4,7.1,2.9,1.2,0.9,98,7.3,4.9,3.0,0.6,64.0,81.8,40.8,30.8,55.3,2.21,Medium
3,2025-01-20,Burnout,21,Male,Business,4,5.4,6.5,6.8,3.6,1.0,1.1,91,7.7,4.4,4.3,0.3,59.1,84.4,32.7,46.6,51.0,2.04,Medium
3,2025-01-21,Burnout,21,Male,Business,4,4.6,7.4,7.1,3.5,2.0,1.0,65,8.3,4.3,2.6,0.2,92.5,67.6,32.1,40.7,61.5,2.46,High
3,2025-01-22,Burnout,21,Male,Business,4,5.7,7.0,7.3,2.2,4.1,0.4,77,9.3,5.6,,0.3,73.1,78.7,36.4,60.0,60.5,2.42,Medium
3,2025-01-23,Burnout,21,Male,Business,4,3.9,5.9,6.9,5.6,1.2,1.8,68,10.0,4.4,4.6,0.3,91.3,76.2,23.5,21.8,38.6,1.54,High
3,2025-01-24,Burnout,21,Male,Business,4,3.3,8.1,6.2,3.2,0.4,1.2,88,9.8,3.0,4.4,0.6,87.3,67.9,23.1,29.8,43.3,1.73,High
3,2025-01-25,Burnout,21,Male,Business,4,5.1,8.1,7.5,2.1,2.2,0.3,58,8.9,4.1,3.3,0.4,87.4,90.9,33.1,49.1,56.3,2.25,Medium
3,2025-01-26,Burnout,21,Male,Business,4,4.6,11.5,7.4,3.2,1.7,1.1,90,8.8,5.7,5.0,0.0,67.1,66.7,48.9,32.4,70.9,2.84,High
3,2025-01-27,Burnout,21,Male,Business,4,4.9,11.7,7.0,3.8,2.1,1.0,76,9.9,4.7,4.3,0.5,78.2,73.3,44.0,52.9,69.4,2.78,High
3,2025-01-28,Burnout,21,Male,Business,4,3.6,8.0,7.0,4.1,2.5,1.0,73,9.8,6.4,4.6,0.1,75.1,66.9,37.3,37.4,55.5,2.22,High
3,2025-01-29,Burnout,21,Male,Business,4,4.6,8.8,6.9,3.5,2.1,0.0,75,8.1,4.9,2.8,0.5,81.0,95.3,38.8,51.6,72.0,2.88,High
3,2025-01-30,Burnout,21,Male,Business,4,4.2,7.1,6.7,2.6,2.2,1.1,98,9.0,5.4,5.2,0.0,84.5,65.2,33.3,32.2,48.5,1.94,High
4,2025-01-01,Burnout,23,Male,Electronics,4,3.3,5.3,7.5,3.8,1.4,0.0,82,8.5,5.4,2.5,0.4,76.8,79.8,27.2,37.5,39.9,1.59,High
4,2025-01-02,Burnout,23,Male,Electronics,4,4.3,8.0,6.1,2.6,1.1,0.9,100,10.0,3.6,2.4,0.2,89.7,77.9,27.1,48.1,47.9,1.92,High
4,2025-01-03,Burnout,23,Male,Electronics,4,5.2,7.3,9.2,2.4,2.7,1.1,120,10.0,6.6,4.0,0.2,67.5,84.6,38.4,37.1,57.1,2.28,Medium
4,2025-01-04,Burnout,23,Male,Electronics,4,4.7,6.0,6.0,4.2,1.3,0.5,110,9.5,6.2,4.7,0.0,85.0,72.4,33.0,33.5,50.8,2.03,High
4,2025-01-05,Burnout,23,Male,Electronics,4,5.8,8.8,7.5,5.2,1.4,1.5,72,9.1,5.3,5.5,0.5,80.1,85.4,41.1,34.7,61.6,2.46,Medium
4,2025-01-06,Burnout,23,Male,Electronics,4,2.5,11.1,5.9,2.8,1.7,1.2,112,9.8,5.9,3.4,0.3,73.3,82.8,42.1,56.0,71.6,2.86,High
4,2025-01-07,Burnout,23,Male,Electronics,4,5.2,9.8,7.2,1.7,2.4,0.7,84,8.5,5.6,5.2,0.6,75.2,83.1,45.0,63.4,84.1,3.36,Medium
4,2025-01-08,Burnout,23,Male,Electronics,4,2.7,9.1,7.4,4.3,2.7,0.9,87,7.8,4.8,3.1,0.6,69.2,85.9,36.5,41.9,54.8,2.19,Medium
4,2025-01-09,Burnout,23,Male,Electronics,4,5.7,7.1,6.9,3.0,1.2,1.3,114,8.9,5.4,3.1,0.2,70.6,87.2,36.6,39.6,54.0,2.16,Medium
4,2025-01-10,Burnout,23,Male,Electronics,4,5.4,5.9,5.2,1.5,3.3,0.7,104,10.0,4.4,4.2,0.7,90.4,100.0,26.2,40.6,51.2,2.05,Medium
4,2025-01-11,Burnout,23,Male,Electronics,4,5.3,7.2,6.2,3.0,1.8,0.8,65,9.7,6.0,4.1,0.3,89.8,68.6,36.5,34.2,49.8,1.99,Medium
4,2025-01-12,Burnout,23,Male,Electronics,4,4.4,10.3,7.6,2.0,3.9,1.6,110,9.6,4.8,3.0,0.7,71.3,90.9,39.5,34.6,62.3,2.49,High
4,2025-01-13,Burnout,23,Male,Electronics,4,4.6,5.3,7.3,2.9,1.5,0.2,113,9.5,4.5,2.8,0.7,46.3,79.7,24.2,17.8,32.3,1.29,High
4,2025-01-14,Burnout,23,Male,Electronics,4,5.0,6.5,7.3,3.8,3.2,0.9,63,8.8,4.1,3.2,0.5,72.7,83.7,28.3,36.0,54.6,2.18,High
4,2025-01-15,Burnout,23,Male,Electronics,4,4.5,6.9,4.6,3.9,2.7,0.9,85,9.1,5.5,2.4,0.0,69.7,87.9,33.5,35.5,45.4,1.81,High
4,2025-01-16,Burnout,23,Male,Electronics,4,4.5,5.6,8.2,2.3,1.2,1.1,72,10.0,4.0,4.1,0.3,79.3,86.9,21.6,24.8,34.5,1.38,High
4,2025-01-17,Burnout,23,Male,Electronics,4,3.4,3.6,7.4,3.9,0.0,0.5,67,9.6,7.1,4.0,0.6,67.7,78.2,26.7,19.8,33.9,1.35,High
4,2025-01-18,Burnout,23,Male,Electronics,4,3.5,8.2,8.6,3.3,1.7,0.9,64,7.4,5.9,3.9,0.4,73.2,100.0,40.3,52.4,61.7,2.47,Medium
4,2025-01-19,Burnout,23,Male,Electronics,4,4.6,5.8,7.9,2.3,3.9,1.5,67,8.6,6.3,4.1,0.1,83.5,84.8,34.8,39.2,59.8,2.39,High
4,2025-01-20,Burnout,23,Male,Electronics,4,4.1,6.6,7.4,5.1,0.9,1.0,99,10.0,4.9,4.5,0.3,64.4,84.3,27.6,55.4,49.5,1.98,High
4,2025-01-21,Burnout,23,Male,Electronics,4,5.1,8.5,7.2,2.6,2.3,0.9,37,9.2,6.3,3.0,0.3,86.4,93.2,42.6,55.6,64.6,2.58,Medium
4,2025-01-22,Burnout,23,Male,Electronics,4,4.5,6.5,6.5,3.8,2.5,0.9,110,8.6,4.6,3.1,0.5,91.2,76.8,29.6,36.6,57.2,2.29,High
4,2025-01-23,Burnout,23,Male,Electronics,4,4.9,8.0,6.1,3.3,0.8,1.6,97,8.5,5.2,4.3,0.2,72.4,85.9,37.4,37.8,52.6,2.1,High
4,2025-01-24,Burnout,23,Male,Electronics,4,6.4,6.5,6.3,3.5,2.2,1.2,117,9.5,5.6,5.1,0.4,79.1,77.6,35.9,30.4,54.6,2.18,Medium
4,2025-01-25,Burnout,23,Male,Electronics,4,5.6,7.8,4.8,3.8,1.5,1.0,94,9.3,5.2,4.7,0.2,70.6,85.1,36.8,34.7,60.3,2.41,Medium
4,2025-01-26,Burnout,23,Male,Electronics,4,5.6,7.2,7.8,3.4,3.8,0.9,58,8.7,5.0,3.7,0.1,83.0,63.8,35.4,57.4,62.5,2.5,Medium
4,2025-01-27,Burnout,23,Male,Electronics,4,4.4,7.7,7.1,4.2,1.1,1.1,66,10.0,5.5,4.2,0.4,85.0,53.0,34.1,37.3,47.5,1.9,High
4,2025-01-28,Burnout,23,Male,Electronics,4,5.9,7.8,8.0,4.6,3.3,1.8,76,9.7,5.1,2.4,0.7,72.5,71.6,35.9,44.3,56.9,2.28,Medium
4,2025-01-29,Burnout,23,Male,Electronics,4,4.5,10.5,6.4,3.2,1.3,0.3,49,8.4,5.0,3.6,0.3,68.1,65.9,43.8,52.4,73.9,2.96,High
4,2025-01-30,Burnout,23,Male,Electronics,4,3.0,7.5,6.2,3.3,3.3,0.1,64,9.1,4.8,4.7,0.2,77.1,72.5,29.8,39.8,56.6,2.26,High
5,2025-01-01,Average,19,Female,Business,3,8.4,3.9,4.9,1.5,0.2,0.2,94,5.3,6.5,4.4,0.9,87.2,73.2,44.1,45.9,68.6,2.75,Low
5,2025-01-02,Average,19,Female,Business,3,5.6,1.8,4.9,2.8,1.0,1.4,91,5.1,5.8,5.3,0.4,81.3,82.4,29.7,31.0,44.1,1.76,Low
5,2025-01-03,Average,19,Female,Business,3,7.2,4.2,7.4,3.3,1.4,1.8,61,3.9,6.1,6.0,0.0,78.3,76.7,43.8,46.5,64.6,2.58,Low
5,2025-01-04,Average,19,Female,Business,3,5.5,5.3,4.7,4.0,2.4,1.0,66,6.8,4.8,6.9,1.4,88.0,71.3,32.4,40.7,55.2,2.21,Medium
5,2025-01-05,Average,19,Female,Business,3,6.4,4.8,7.2,1.3,3.3,0.2,65,6.0,7.1,4.9,0.7,76.7,66.9,43.6,57.0,66.4,2.66,Medium
5,2025-01-06,Average,19,Female,Business,3,7.9,3.4,5.7,1.3,1.2,2.3,76,6.6,4.8,5.4,0.5,79.8,80.8,31.9,31.9,45.8,1.83,Medium
5,2025-01-07,Average,19,Female,Business,3,7.0,4.0,5.3,2.9,1.9,1.2,87,4.7,7.6,6.6,0.7,77.6,85.0,47.0,46.5,67.7,2.71,Low
5,2025-01-08,Average,19,Female,Business,3,6.9,2.4,4.3,1.8,2.1,2.9,60,7.2,6.6,6.5,0.5,65.6,72.6,33.3,26.4,43.2,1.73,Medium
5,2025-01-09,Average,19,Female,Business,3,4.5,4.7,4.4,3.2,4.1,0.8,63,2.5,5.7,7.1,1.0,95.7,65.7,41.2,67.9,66.8,2.67,Low
5,2025-01-10,Average,19,Female,Business,3,5.0,4.3,6.7,4.1,2.1,1.7,69,4.6,6.3,5.7,1.0,85.0,74.3,38.6,45.2,65.1,2.61,Low
5,2025-01-11,Average,19,Female,Business,3,4.7,5.3,4.6,2.3,1.4,2.6,77,2.9,9.1,7.1,0.9,81.8,77.5,56.1,62.8,83.3,3.33,Low
5,2025-01-12,Average,19,Female,Business,3,6.6,3.8,5.8,2.8,3.1,2.0,84,2.1,6.7,6.2,1.2,79.9,74.1,47.1,48.6,64.7,2.59,Low
5,2025-01-13,Average,19,Female,Business,3,5.5,2.6,5.1,3.9,3.0,1.9,87,5.7,6.5,5.4,1.1,83.5,86.0,33.5,40.1,53.3,2.13,Low
5,2025-01-14,Average,19,Female,Business,3,7.6,4.0,4.7,2.8,1.3,1.0,57,4.9,5.2,5.7,0.8,64.9,80.1,38.2,47.8,57.5,2.3,Low
5,2025-01-15,Average,19,Female,Business,3,4.9,3.2,4.8,2.1,2.8,1.3,90,4.7,4.0,6.6,0.9,70.1,78.6,26.0,0.5,35.2,1.41,Low
5,2025-01-16,Average,19,Female,Business,3,6.7,5.8,7.9,3.2,1.5,2.1,62,4.0,6.5,6.5,1.0,88.5,100.0,48.6,37.5,73.8,2.95,Low
5,2025-01-17,Average,19,Female,Business,3,5.8,3.6,5.2,3.2,1.2,2.4,60,5.0,6.0,5.7,0.5,81.2,86.3,36.3,26.5,53.3,2.13,Low
5,2025-01-18,Average,19,Female,Business,3,5.7,3.5,7.3,3.3,2.2,2.2,67,4.9,6.4,5.9,0.0,82.1,72.2,37.8,51.9,63.5,2.54,Low
5,2025-01-19,Average,19,Female,Business,3,7.5,5.2,6.1,3.2,1.4,1.2,48,5.6,7.2,5.9,1.0,76.4,78.0,48.2,35.4,56.9,2.28,Low
5,2025-01-20,Average,19,Female,Business,3,5.3,3.5,5.8,2.5,3.5,1.8,53,5.3,6.6,4.9,1.1,88.3,77.2,36.9,40.5,48.5,1.94,Low
5,2025-01-21,Average,19,Female,Business,3,6.9,3.1,4.7,4.1,0.8,2.8,70,4.1,6.6,5.7,0.7,84.8,72.6,41.4,44.7,55.5,2.22,Low
5,2025-01-22,Average,19,Female,Business,3,6.0,3.8,4.5,0.4,1.8,3.4,86,5.8,6.0,5.7,0.3,80.2,83.5,35.6,45.7,57.0,2.28,Low
5,2025-01-23,Average,19,Female,Business,3,6.9,4.0,7.0,3.6,1.6,1.0,72,5.1,7.5,4.8,0.8,68.3,79.6,45.9,42.8,63.7,2.55,Low
